topic,term,beta,decade,topic_name
1,literacy,0.01692019,d6_2020-2022,Instructional programs and interventions
1,research,0.011617441,d6_2020-2022,Instructional programs and interventions
1,students,0.009723677,d6_2020-2022,Instructional programs and interventions
1,reading,0.006747906,d6_2020-2022,Instructional programs and interventions
1,english,0.006091255,d6_2020-2022,Instructional programs and interventions
1,language,0.006044703,d6_2020-2022,Instructional programs and interventions
1,identities,0.005589692,d6_2020-2022,Instructional programs and interventions
1,practices,0.005310113,d6_2020-2022,Instructional programs and interventions
1,classroom,0.005215588,d6_2020-2022,Instructional programs and interventions
1,learners,0.005019622,d6_2020-2022,Instructional programs and interventions
1,study,0.004681859,d6_2020-2022,Instructional programs and interventions
1,journal,0.004497321,d6_2020-2022,Instructional programs and interventions
1,student,0.004409873,d6_2020-2022,Instructional programs and interventions
1,youth,0.004321238,d6_2020-2022,Instructional programs and interventions
1,class,0.004293987,d6_2020-2022,Instructional programs and interventions
1,teacher,0.004203161,d6_2020-2022,Instructional programs and interventions
1,journals,0.003990751,d6_2020-2022,Instructional programs and interventions
1,learning,0.003961589,d6_2020-2022,Instructional programs and interventions
1,data,0.003957314,d6_2020-2022,Instructional programs and interventions
1,noriah,0.003826814,d6_2020-2022,Instructional programs and interventions
1,school,0.003823822,d6_2020-2022,Instructional programs and interventions
1,literate,0.003762551,d6_2020-2022,Instructional programs and interventions
1,teachers,0.003635685,d6_2020-2022,Instructional programs and interventions
1,loss,0.003534939,d6_2020-2022,Instructional programs and interventions
1,education,0.003464135,d6_2020-2022,Instructional programs and interventions
1,sharing,0.003274127,d6_2020-2022,Instructional programs and interventions
1,teaching,0.003222596,d6_2020-2022,Instructional programs and interventions
1,college,0.003140778,d6_2020-2022,Instructional programs and interventions
1,based,0.003133359,d6_2020-2022,Instructional programs and interventions
1,analysis,0.003091176,d6_2020-2022,Instructional programs and interventions
2,literacy,0.010075041,d6_2020-2022,Children's literacy instruction
2,reading,0.009491008,d6_2020-2022,Children's literacy instruction
2,school,0.007463343,d6_2020-2022,Children's literacy instruction
2,children,0.007294194,d6_2020-2022,Children's literacy instruction
2,writing,0.006618765,d6_2020-2022,Children's literacy instruction
2,research,0.006550434,d6_2020-2022,Children's literacy instruction
2,black,0.005586874,d6_2020-2022,Children's literacy instruction
2,students,0.005174049,d6_2020-2022,Children's literacy instruction
2,bodies,0.004758567,d6_2020-2022,Children's literacy instruction
2,refugee,0.004490243,d6_2020-2022,Children's literacy instruction
2,language,0.004106656,d6_2020-2022,Children's literacy instruction
2,read,0.004103436,d6_2020-2022,Children's literacy instruction
2,fluency,0.003881601,d6_2020-2022,Children's literacy instruction
2,data,0.003775151,d6_2020-2022,Children's literacy instruction
2,people,0.003699914,d6_2020-2022,Children's literacy instruction
2,experiences,0.003390564,d6_2020-2022,Children's literacy instruction
2,education,0.003357109,d6_2020-2022,Children's literacy instruction
2,study,0.003275417,d6_2020-2022,Children's literacy instruction
2,social,0.003267321,d6_2020-2022,Children's literacy instruction
2,learning,0.00303523,d6_2020-2022,Children's literacy instruction
2,text,0.002960054,d6_2020-2022,Children's literacy instruction
2,time,0.002908568,d6_2020-2022,Children's literacy instruction
2,analysis,0.002826155,d6_2020-2022,Children's literacy instruction
2,english,0.00278205,d6_2020-2022,Children's literacy instruction
2,journal,0.002649133,d6_2020-2022,Children's literacy instruction
2,teachers,0.002641362,d6_2020-2022,Children's literacy instruction
2,girls,0.002563999,d6_2020-2022,Children's literacy instruction
2,practices,0.002523381,d6_2020-2022,Children's literacy instruction
2,class,0.002494846,d6_2020-2022,Children's literacy instruction
2,home,0.002392436,d6_2020-2022,Children's literacy instruction
3,literacy,0.010482002,d6_2020-2022,Digital literacies
3,students,0.009904498,d6_2020-2022,Digital literacies
3,critical,0.009148899,d6_2020-2022,Digital literacies
3,research,0.007722529,d6_2020-2022,Digital literacies
3,civic,0.006906252,d6_2020-2022,Digital literacies
3,social,0.005775898,d6_2020-2022,Digital literacies
3,digital,0.005410814,d6_2020-2022,Digital literacies
3,malcolm,0.005117921,d6_2020-2022,Digital literacies
3,writing,0.004873707,d6_2020-2022,Digital literacies
3,multimodal,0.00480943,d6_2020-2022,Digital literacies
3,language,0.004795125,d6_2020-2022,Digital literacies
3,learning,0.00457525,d6_2020-2022,Digital literacies
3,practices,0.004449475,d6_2020-2022,Digital literacies
3,study,0.004317118,d6_2020-2022,Digital literacies
3,texts,0.004119712,d6_2020-2022,Digital literacies
3,educators,0.004112173,d6_2020-2022,Digital literacies
3,education,0.003310695,d6_2020-2022,Digital literacies
3,analysis,0.003165725,d6_2020-2022,Digital literacies
3,people,0.003007673,d6_2020-2022,Digital literacies
3,literacies,0.002966358,d6_2020-2022,Digital literacies
3,paula,0.002929074,d6_2020-2022,Digital literacies
3,composing,0.0028701,d6_2020-2022,Digital literacies
3,culture,0.002855836,d6_2020-2022,Digital literacies
3,youth,0.002802391,d6_2020-2022,Digital literacies
3,teachers,0.002772581,d6_2020-2022,Digital literacies
3,text,0.002678697,d6_2020-2022,Digital literacies
3,english,0.002605314,d6_2020-2022,Digital literacies
3,data,0.002597367,d6_2020-2022,Digital literacies
3,becky,0.002559085,d6_2020-2022,Digital literacies
3,school,0.002555992,d6_2020-2022,Digital literacies
4,reading,0.011238634,d6_2020-2022,Readers' characterization based on measures
4,education,0.010980971,d6_2020-2022,Readers' characterization based on measures
4,research,0.00956584,d6_2020-2022,Readers' characterization based on measures
4,black,0.008820364,d6_2020-2022,Readers' characterization based on measures
4,children,0.00713181,d6_2020-2022,Readers' characterization based on measures
4,language,0.007077197,d6_2020-2022,Readers' characterization based on measures
4,students,0.006811992,d6_2020-2022,Readers' characterization based on measures
4,race,0.006618583,d6_2020-2022,Readers' characterization based on measures
4,dyslexia,0.00617872,d6_2020-2022,Readers' characterization based on measures
4,immigrant,0.006080154,d6_2020-2022,Readers' characterization based on measures
4,resources,0.005714125,d6_2020-2022,Readers' characterization based on measures
4,teacher,0.005398839,d6_2020-2022,Readers' characterization based on measures
4,youth,0.005350425,d6_2020-2022,Readers' characterization based on measures
4,teachers,0.00527549,d6_2020-2022,Readers' characterization based on measures
4,writing,0.005253004,d6_2020-2022,Readers' characterization based on measures
4,literacy,0.004995371,d6_2020-2022,Readers' characterization based on measures
4,school,0.004212034,d6_2020-2022,Readers' characterization based on measures
4,student,0.00417757,d6_2020-2022,Readers' characterization based on measures
4,ability,0.004091358,d6_2020-2022,Readers' characterization based on measures
4,achievement,0.003907931,d6_2020-2022,Readers' characterization based on measures
4,english,0.003723103,d6_2020-2022,Readers' characterization based on measures
4,american,0.003483967,d6_2020-2022,Readers' characterization based on measures
4,dis,0.003470517,d6_2020-2022,Readers' characterization based on measures
4,literacies,0.003415955,d6_2020-2022,Readers' characterization based on measures
4,special,0.00324218,d6_2020-2022,Readers' characterization based on measures
4,learning,0.003207581,d6_2020-2022,Readers' characterization based on measures
4,social,0.003169272,d6_2020-2022,Readers' characterization based on measures
4,educational,0.003131755,d6_2020-2022,Readers' characterization based on measures
4,practices,0.00302868,d6_2020-2022,Readers' characterization based on measures
4,instruction,0.003000418,d6_2020-2022,Readers' characterization based on measures
5,students,0.015429179,d6_2020-2022,Writing
5,writing,0.009102527,d6_2020-2022,Writing
5,research,0.007896658,d6_2020-2022,Writing
5,teacher,0.005955119,d6_2020-2022,Writing
5,coaching,0.005236365,d6_2020-2022,Writing
5,literacy,0.005183577,d6_2020-2022,Writing
5,student,0.00484666,d6_2020-2022,Writing
5,video,0.004826056,d6_2020-2022,Writing
5,teachers,0.004704894,d6_2020-2022,Writing
5,learning,0.004700421,d6_2020-2022,Writing
5,studies,0.004546649,d6_2020-2022,Writing
5,school,0.004502013,d6_2020-2022,Writing
5,futures,0.004376991,d6_2020-2022,Writing
5,argument,0.0040852,d6_2020-2022,Writing
5,arguments,0.003884695,d6_2020-2022,Writing
5,study,0.003664241,d6_2020-2022,Writing
5,youth,0.003564422,d6_2020-2022,Writing
5,social,0.003449462,d6_2020-2022,Writing
5,knowledge,0.003415041,d6_2020-2022,Writing
5,future,0.003395057,d6_2020-2022,Writing
5,analysis,0.00333467,d6_2020-2022,Writing
5,evidence,0.003262892,d6_2020-2022,Writing
5,instructional,0.003226737,d6_2020-2022,Writing
5,based,0.003077196,d6_2020-2022,Writing
5,change,0.003024365,d6_2020-2022,Writing
5,modes,0.002908552,d6_2020-2022,Writing
5,education,0.002824045,d6_2020-2022,Writing
5,feedback,0.00276478,d6_2020-2022,Writing
5,narratives,0.002749657,d6_2020-2022,Writing
5,reading,0.002675591,d6_2020-2022,Writing
6,literacy,0.015650115,d6_2020-2022,Research and theory
6,research,0.007500009,d6_2020-2022,Research and theory
6,reading,0.007091783,d6_2020-2022,Research and theory
6,literacies,0.006246579,d6_2020-2022,Research and theory
6,ethics,0.006192881,d6_2020-2022,Research and theory
6,students,0.005230935,d6_2020-2022,Research and theory
6,people,0.004751818,d6_2020-2022,Research and theory
6,experiences,0.004447431,d6_2020-2022,Research and theory
6,social,0.00433855,d6_2020-2022,Research and theory
6,practices,0.003885401,d6_2020-2022,Research and theory
6,writing,0.00382687,d6_2020-2022,Research and theory
6,world,0.003802602,d6_2020-2022,Research and theory
6,diana,0.003687026,d6_2020-2022,Research and theory
6,studies,0.003459137,d6_2020-2022,Research and theory
6,questions,0.003449565,d6_2020-2022,Research and theory
6,learning,0.003235783,d6_2020-2022,Research and theory
6,education,0.003222415,d6_2020-2022,Research and theory
6,theory,0.00319611,d6_2020-2022,Research and theory
6,text,0.003164651,d6_2020-2022,Research and theory
6,university,0.003089787,d6_2020-2022,Research and theory
6,knowledge,0.003081856,d6_2020-2022,Research and theory
6,press,0.002841934,d6_2020-2022,Research and theory
6,sgq,0.002736464,d6_2020-2022,Research and theory
6,critical,0.002679877,d6_2020-2022,Research and theory
6,ability,0.00260682,d6_2020-2022,Research and theory
6,practice,0.002489476,d6_2020-2022,Research and theory
6,own,0.002472792,d6_2020-2022,Research and theory
6,school,0.002398544,d6_2020-2022,Research and theory
6,ethical,0.002308633,d6_2020-2022,Research and theory
