topic,term,beta,decade,topic_name
1,literacy,0.039713761,d5_2010-2019,Family and community literacy
1,reading,0.007953296,d5_2010-2019,Family and community literacy
1,education,0.007447093,d5_2010-2019,Family and community literacy
1,family,0.00686004,d5_2010-2019,Family and community literacy
1,adult,0.006754324,d5_2010-2019,Family and community literacy
1,school,0.006725126,d5_2010-2019,Family and community literacy
1,research,0.006352042,d5_2010-2019,Family and community literacy
1,children,0.006327835,d5_2010-2019,Family and community literacy
1,practices,0.006198312,d5_2010-2019,Family and community literacy
1,participants,0.005528325,d5_2010-2019,Family and community literacy
1,study,0.00488416,d5_2010-2019,Family and community literacy
1,educational,0.004668909,d5_2010-2019,Family and community literacy
1,parents,0.004566605,d5_2010-2019,Family and community literacy
1,social,0.004497296,d5_2010-2019,Family and community literacy
1,data,0.004264188,d5_2010-2019,Family and community literacy
1,time,0.004196969,d5_2010-2019,Family and community literacy
1,adults,0.003827308,d5_2010-2019,Family and community literacy
1,technology,0.003825352,d5_2010-2019,Family and community literacy
1,life,0.003683391,d5_2010-2019,Family and community literacy
1,skills,0.003671982,d5_2010-2019,Family and community literacy
1,literacies,0.003622576,d5_2010-2019,Family and community literacy
1,internet,0.003612219,d5_2010-2019,Family and community literacy
1,read,0.003436451,d5_2010-2019,Family and community literacy
1,activities,0.003405875,d5_2010-2019,Family and community literacy
1,white,0.003377304,d5_2010-2019,Family and community literacy
1,information,0.003348382,d5_2010-2019,Family and community literacy
1,language,0.003298052,d5_2010-2019,Family and community literacy
1,gap,0.003204452,d5_2010-2019,Family and community literacy
1,national,0.003190573,d5_2010-2019,Family and community literacy
1,families,0.003103766,d5_2010-2019,Family and community literacy
2,students,0.022957608,d5_2010-2019,Disciplinary literacy
2,teachers,0.017811726,d5_2010-2019,Disciplinary literacy
2,literacy,0.011565261,d5_2010-2019,Disciplinary literacy
2,teacher,0.011202367,d5_2010-2019,Disciplinary literacy
2,writing,0.011135455,d5_2010-2019,Disciplinary literacy
2,research,0.010718648,d5_2010-2019,Disciplinary literacy
2,instruction,0.009942256,d5_2010-2019,Disciplinary literacy
2,reading,0.008421823,d5_2010-2019,Disciplinary literacy
2,learning,0.008323256,d5_2010-2019,Disciplinary literacy
2,teaching,0.008130288,d5_2010-2019,Disciplinary literacy
2,student,0.006910547,d5_2010-2019,Disciplinary literacy
2,content,0.006607467,d5_2010-2019,Disciplinary literacy
2,science,0.005685533,d5_2010-2019,Disciplinary literacy
2,study,0.005330536,d5_2010-2019,Disciplinary literacy
2,school,0.004870072,d5_2010-2019,Disciplinary literacy
2,studies,0.004325026,d5_2010-2019,Disciplinary literacy
2,classroom,0.004228907,d5_2010-2019,Disciplinary literacy
2,data,0.004049886,d5_2010-2019,Disciplinary literacy
2,disciplinary,0.003964112,d5_2010-2019,Disciplinary literacy
2,education,0.003777038,d5_2010-2019,Disciplinary literacy
2,based,0.003684599,d5_2010-2019,Disciplinary literacy
2,instructional,0.003452904,d5_2010-2019,Disciplinary literacy
2,knowledge,0.003448231,d5_2010-2019,Disciplinary literacy
2,texts,0.003376232,d5_2010-2019,Disciplinary literacy
2,mathematics,0.00331462,d5_2010-2019,Disciplinary literacy
2,questions,0.002932124,d5_2010-2019,Disciplinary literacy
2,journal,0.002910468,d5_2010-2019,Disciplinary literacy
2,using,0.002770593,d5_2010-2019,Disciplinary literacy
2,national,0.002744873,d5_2010-2019,Disciplinary literacy
2,review,0.002736536,d5_2010-2019,Disciplinary literacy
3,writing,0.034175119,d5_2010-2019,Writing
3,children,0.023110096,d5_2010-2019,Writing
3,language,0.008175517,d5_2010-2019,Writing
3,text,0.007851762,d5_2010-2019,Writing
3,research,0.005109275,d5_2010-2019,Writing
3,write,0.004693884,d5_2010-2019,Writing
3,written,0.004230022,d5_2010-2019,Writing
3,time,0.00422441,d5_2010-2019,Writing
3,study,0.004120776,d5_2010-2019,Writing
3,texts,0.003905802,d5_2010-2019,Writing
3,poetry,0.003744943,d5_2010-2019,Writing
3,genre,0.003518006,d5_2010-2019,Writing
3,social,0.00348575,d5_2010-2019,Writing
3,writers,0.003352048,d5_2010-2019,Writing
3,child,0.003262996,d5_2010-2019,Writing
3,talk,0.003226619,d5_2010-2019,Writing
3,analysis,0.003129902,d5_2010-2019,Writing
3,learning,0.003119879,d5_2010-2019,Writing
3,books,0.003076734,d5_2010-2019,Writing
3,reading,0.002969484,d5_2010-2019,Writing
3,literacy,0.002929405,d5_2010-2019,Writing
3,school,0.002898678,d5_2010-2019,Writing
3,picture,0.002863571,d5_2010-2019,Writing
3,story,0.002785575,d5_2010-2019,Writing
3,discourse,0.002691332,d5_2010-2019,Writing
3,poem,0.002570582,d5_2010-2019,Writing
3,words,0.00251095,d5_2010-2019,Writing
3,classroom,0.002407899,d5_2010-2019,Writing
3,data,0.002355263,d5_2010-2019,Writing
3,genres,0.002332162,d5_2010-2019,Writing
4,reading,0.029976794,d5_2010-2019,Teacher education
4,teachers,0.015317508,d5_2010-2019,Teacher education
4,literacy,0.014995738,d5_2010-2019,Teacher education
4,school,0.012127691,d5_2010-2019,Teacher education
4,research,0.010035966,d5_2010-2019,Teacher education
