topic,term,beta,decade,topic_name
1,reading,0.040413649,d1_1969-1979,"Testing, reading comprehension"
1,rate,0.013895641,d1_1969-1979,"Testing, reading comprehension"
1,test,0.011684437,d1_1969-1979,"Testing, reading comprehension"
1,readers,0.010600208,d1_1969-1979,"Testing, reading comprehension"
1,read,0.010067468,d1_1969-1979,"Testing, reading comprehension"
1,words,0.009904413,d1_1969-1979,"Testing, reading comprehension"
1,time,0.008751661,d1_1969-1979,"Testing, reading comprehension"
1,passage,0.008644463,d1_1969-1979,"Testing, reading comprehension"
1,passages,0.00763317,d1_1969-1979,"Testing, reading comprehension"
1,word,0.007500956,d1_1969-1979,"Testing, reading comprehension"
1,difficulty,0.0067496,d1_1969-1979,"Testing, reading comprehension"
1,speed,0.006222861,d1_1969-1979,"Testing, reading comprehension"
1,information,0.005787343,d1_1969-1979,"Testing, reading comprehension"
1,material,0.005676904,d1_1969-1979,"Testing, reading comprehension"
1,comprehension,0.005604337,d1_1969-1979,"Testing, reading comprehension"
1,reader,0.004945955,d1_1969-1979,"Testing, reading comprehension"
1,flexibility,0.004892418,d1_1969-1979,"Testing, reading comprehension"
1,research,0.004712627,d1_1969-1979,"Testing, reading comprehension"
1,level,0.004521816,d1_1969-1979,"Testing, reading comprehension"
1,eye,0.004464721,d1_1969-1979,"Testing, reading comprehension"
1,students,0.00443296,d1_1969-1979,"Testing, reading comprehension"
1,results,0.004365018,d1_1969-1979,"Testing, reading comprehension"
1,subjects,0.004320417,d1_1969-1979,"Testing, reading comprehension"
1,carver,0.004262928,d1_1969-1979,"Testing, reading comprehension"
1,materials,0.003961251,d1_1969-1979,"Testing, reading comprehension"
1,prose,0.003774021,d1_1969-1979,"Testing, reading comprehension"
1,subject,0.003720405,d1_1969-1979,"Testing, reading comprehension"
1,scanning,0.003455368,d1_1969-1979,"Testing, reading comprehension"
1,questions,0.003342911,d1_1969-1979,"Testing, reading comprehension"
1,type,0.003157199,d1_1969-1979,"Testing, reading comprehension"
2,reading,0.040633873,d1_1969-1979,Study skills testing
2,factor,0.017711134,d1_1969-1979,Study skills testing
2,test,0.017010867,d1_1969-1979,Study skills testing
2,comprehension,0.015804293,d1_1969-1979,Study skills testing
2,tests,0.012569903,d1_1969-1979,Study skills testing
2,analysis,0.007823098,d1_1969-1979,Study skills testing
2,factors,0.007820371,d1_1969-1979,Study skills testing
2,variables,0.007592996,d1_1969-1979,Study skills testing
2,ability,0.007415084,d1_1969-1979,Study skills testing
2,research,0.006424924,d1_1969-1979,Study skills testing
2,critical,0.006082581,d1_1969-1979,Study skills testing
2,variance,0.005256757,d1_1969-1979,Study skills testing
2,study,0.005145292,d1_1969-1979,Study skills testing
2,skills,0.005142629,d1_1969-1979,Study skills testing
2,correlations,0.005033139,d1_1969-1979,Study skills testing
2,grade,0.004589066,d1_1969-1979,Study skills testing
2,measures,0.004256579,d1_1969-1979,Study skills testing
2,scores,0.004098877,d1_1969-1979,Study skills testing
2,thinking,0.0040809,d1_1969-1979,Study skills testing
2,data,0.004046783,d1_1969-1979,Study skills testing
2,table,0.004033792,d1_1969-1979,Study skills testing
2,vocabulary,0.003969535,d1_1969-1979,Study skills testing
2,items,0.00395881,d1_1969-1979,Study skills testing
2,level,0.003946728,d1_1969-1979,Study skills testing
2,verbal,0.003885205,d1_1969-1979,Study skills testing
2,variable,0.003788455,d1_1969-1979,Study skills testing
2,subtests,0.00378792,d1_1969-1979,Study skills testing
2,correlation,0.003709375,d1_1969-1979,Study skills testing
2,measure,0.003570772,d1_1969-1979,Study skills testing
2,results,0.003417297,d1_1969-1979,Study skills testing
3,reading,0.021044821,d1_1969-1979,Instructional programs and interventions
3,education,0.007682852,d1_1969-1979,Instructional programs and interventions
3,learning,0.00747849,d1_1969-1979,Instructional programs and interventions
3,research,0.006738899,d1_1969-1979,Instructional programs and interventions
3,program,0.005847442,d1_1969-1979,Instructional programs and interventions
3,school,0.005497032,d1_1969-1979,Instructional programs and interventions
3,teacher,0.004976008,d1_1969-1979,Instructional programs and interventions
3,adult,0.00497372,d1_1969-1979,Instructional programs and interventions
3,read,0.004574278,d1_1969-1979,Instructional programs and interventions
3,educational,0.004464426,d1_1969-1979,Instructional programs and interventions
3,materials,0.003895217,d1_1969-1979,Instructional programs and interventions
3,programs,0.003811364,d1_1969-1979,Instructional programs and interventions
3,teaching,0.00374066,d1_1969-1979,Instructional programs and interventions
3,students,0.00364742,d1_1969-1979,Instructional programs and interventions
3,development,0.003602419,d1_1969-1979,Instructional programs and interventions
3,children,0.003385044,d1_1969-1979,Instructional programs and interventions
3,teachers,0.003225276,d1_1969-1979,Instructional programs and interventions
3,literature,0.003106338,d1_1969-1979,Instructional programs and interventions
3,time,0.003025466,d1_1969-1979,Instructional programs and interventions
3,nrc,0.002972032,d1_1969-1979,Instructional programs and interventions
3,college,0.00290002,d1_1969-1979,Instructional programs and interventions
3,student,0.00287507,d1_1969-1979,Instructional programs and interventions
3,people,0.002770811,d1_1969-1979,Instructional programs and interventions
3,basic,0.002685894,d1_1969-1979,Instructional programs and interventions
3,training,0.002619342,d1_1969-1979,Instructional programs and interventions
3,books,0.002530419,d1_1969-1979,Instructional programs and interventions
3,behavior,0.002449245,d1_1969-1979,Instructional programs and interventions
3,skills,0.002416862,d1_1969-1979,Instructional programs and interventions
3,own,0.002345321,d1_1969-1979,Instructional programs and interventions
3,literacy,0.002218846,d1_1969-1979,Instructional programs and interventions
4,reading,0.026606609,d1_1969-1979,Grammar
4,language,0.014378749,d1_1969-1979,Grammar
4,sentence,0.008384504,d1_1969-1979,Grammar
4,word,0.007913322,d1_1969-1979,Grammar
4,process,0.007179015,d1_1969-1979,Grammar
4,reader,0.007019699,d1_1969-1979,Grammar
4,meaning,0.006812781,d1_1969-1979,Grammar
4,words,0.00674387,d1_1969-1979,Grammar
4,theory,0.006050648,d1_1969-1979,Grammar
4,models,0.006025427,d1_1969-1979,Grammar
4,research,0.005767632,d1_1969-1979,Grammar
4,model,0.005388272,d1_1969-1979,Grammar
4,comprehension,0.004715981,d1_1969-1979,Grammar
4,structure,0.00450142,d1_1969-1979,Grammar
4,grammatical,0.004071395,d1_1969-1979,Grammar
4,linguistic,0.003974437,d1_1969-1979,Grammar
4,sentences,0.003953009,d1_1969-1979,Grammar
4,syntactic,0.003948527,d1_1969-1979,Grammar
4,analysis,0.003747002,d1_1969-1979,Grammar
4,speech,0.003731607,d1_1969-1979,Grammar
4,semantic,0.003377568,d1_1969-1979,Grammar
4,context,0.003286595,d1_1969-1979,Grammar
4,information,0.003261002,d1_1969-1979,Grammar
4,miscues,0.003231118,d1_1969-1979,Grammar
4,text,0.003119124,d1_1969-1979,Grammar
4,read,0.002894437,d1_1969-1979,Grammar
4,processes,0.002658906,d1_1969-1979,Grammar
4,oral,0.00263697,d1_1969-1979,Grammar
4,university,0.002609252,d1_1969-1979,Grammar
4,english,0.002523406,d1_1969-1979,Grammar
