topic,term,beta,decade
1,words,0.023273602188778716,d4_2000-2009
1,word,0.019437285689005518,d4_2000-2009
1,reading,0.01802883874827952,d4_2000-2009
1,spelling,0.008438996468714054,d4_2000-2009
1,children,0.007795536079839205,d4_2000-2009
1,text,0.007456830655796406,d4_2000-2009
1,study,0.006484200044556678,d4_2000-2009
1,awareness,0.006348460806322493,d4_2000-2009
1,read,0.005511515773220489,d4_2000-2009
1,readers,0.005387155488562589,d4_2000-2009
1,phonological,0.005326718710414042,d4_2000-2009
1,phoneme,0.005247608869149247,d4_2000-2009
1,research,0.005077247556848325,d4_2000-2009
1,sound,0.004984759271897895,d4_2000-2009
1,letter,0.004761432501344697,d4_2000-2009
1,learning,0.004310465145776246,d4_2000-2009
1,instruction,0.004159705344615785,d4_2000-2009
1,beginning,0.003727803580348602,d4_2000-2009
1,decodable,0.003413903923581651,d4_2000-2009
1,language,0.0033352311756828386,d4_2000-2009
1,knowledge,0.003260887766618604,d4_2000-2009
1,letters,0.0028625677480778656,d4_2000-2009
1,sounds,0.002857762141707159,d4_2000-2009
1,reader,0.002857571283959419,d4_2000-2009
1,phonemes,0.002700060999737062,d4_2000-2009
1,students,0.0026819016810043584,d4_2000-2009
1,level,0.0025578535706170637,d4_2000-2009
1,texts,0.0025562683662140426,d4_2000-2009
1,using,0.002468097364067488,d4_2000-2009
1,analysis,0.002437529764633387,d4_2000-2009
2,literacy,0.011296197614661082,d4_2000-2009
2,students,0.009268258442517587,d4_2000-2009
2,social,0.008854785477414707,d4_2000-2009
2,school,0.00833196087987009,d4_2000-2009
2,practices,0.007772144826514144,d4_2000-2009
2,class,0.007457297780790625,d4_2000-2009
2,language,0.006321176796325971,d4_2000-2009
2,cultural,0.005391923365436061,d4_2000-2009
2,discourse,0.00524842653219052,d4_2000-2009
2,classroom,0.00497671167892503,d4_2000-2009
2,english,0.0047834271054306,d4_2000-2009
2,research,0.004658980039386173,d4_2000-2009
2,girls,0.004537816329007842,d4_2000-2009
2,reading,0.004121601147359908,d4_2000-2009
2,discourses,0.003921067043401371,d4_2000-2009
2,identity,0.0038436540980409627,d4_2000-2009
2,community,0.003835522757935733,d4_2000-2009
2,power,0.0036810023136321993,d4_2000-2009
2,space,0.003533098880695371,d4_2000-2009
2,time,0.0034894900997300984,d4_2000-2009
2,writing,0.003366929125548732,d4_2000-2009
2,study,0.0033088025053463962,d4_2000-2009
2,boys,0.00322726965337367,d4_2000-2009
2,people,0.003202754001230483,d4_2000-2009
2,read,0.003154957788056641,d4_2000-2009
2,analysis,0.003113871941591939,d4_2000-2009
2,critical,0.0030363736462837307,d4_2000-2009
2,press,0.0029215812764871846,d4_2000-2009
2,york,0.0026605507637918044,d4_2000-2009
2,participants,0.002630807143435413,d4_2000-2009
3,students,0.01386635286570006,d4_2000-2009
3,discussion,0.011323837247213442,d4_2000-2009
3,literature,0.008605562890787162,d4_2000-2009
3,teacher,0.005694132008682783,d4_2000-2009
3,discussions,0.005637747122054382,d4_2000-2009
3,reading,0.005509598620779829,d4_2000-2009
3,social,0.00477721515699973,d4_2000-2009
3,response,0.004753032563560457,d4_2000-2009
3,classroom,0.004615593905286772,d4_2000-2009
3,text,0.0045383265505238345,d4_2000-2009
3,student,0.004353135372726624,d4_2000-2009
3,class,0.004133914762933269,d4_2000-2009
3,teachers,0.003885138126307616,d4_2000-2009
3,study,0.003840804358481885,d4_2000-2009
3,research,0.0038133392682916005,d4_2000-2009
3,questions,0.0038006133099979674,d4_2000-2009
3,talk,0.003726244081970027,d4_2000-2009
3,read,0.003177537556466563,d4_2000-2009
3,analysis,0.003099591772285223,d4_2000-2009
3,book,0.0030741698933264916,d4_2000-2009
3,york,0.003017331577914832,d4_2000-2009
3,people,0.0027795372583611557,d4_2000-2009
3,teaching,0.0027453157047745494,d4_2000-2009
3,white,0.0026882455062000057,d4_2000-2009
3,american,0.0026803854182399006,d4_2000-2009
3,children,0.0026494225203752275,d4_2000-2009
3,learning,0.0026236212500967914,d4_2000-2009
3,story,0.0025505593035696087,d4_2000-2009
3,school,0.0025250054724191566,d4_2000-2009
3,readers,0.0025149673088322106,d4_2000-2009
4,writing,0.022221286472515887,d4_2000-2009
4,students,0.017876131713277114,d4_2000-2009
4,school,0.010855125528905522,d4_2000-2009
4,teachers,0.00925091412813657,d4_2000-2009
4,literacy,0.006952714150959209,d4_2000-2009
4,reading,0.0068022010692647536,d4_2000-2009
4,culture,0.006051411588654593,d4_2000-2009
4,texts,0.005339386547770444,d4_2000-2009
4,literature,0.0052104542247185465,d4_2000-2009
4,teacher,0.004964440159135848,d4_2000-2009
4,teaching,0.0045685744744388,d4_2000-2009
4,children,0.004431017343722948,d4_2000-2009
4,popular,0.004349759022164152,d4_2000-2009
4,class,0.004054876562445233,d4_2000-2009
4,own,0.003997058687739777,d4_2000-2009
4,study,0.003964069326014412,d4_2000-2009
4,story,0.0037279728707714987,d4_2000-2009
4,student,0.0035874099514124442,d4_2000-2009
4,writers,0.003292670931718386,d4_2000-2009
4,time,0.0032126813523625803,d4_2000-2009
4,write,0.0032020283813038153,d4_2000-2009
4,book,0.003193998380373732,d4_2000-2009
4,writer,0.003145971154615919,d4_2000-2009
4,learning,0.0031208529502107112,d4_2000-2009
4,classroom,0.0030585827717297953,d4_2000-2009
4,social,0.0029177773632449323,d4_2000-2009
4,research,0.0028718821059399726,d4_2000-2009
4,experiences,0.0027762707899026892,d4_2000-2009
4,process,0.0027717275526507983,d4_2000-2009
4,life,0.002629087902578522,d4_2000-2009
5,literacy,0.021793604639598157,d4_2000-2009
5,research,0.018802503698305904,d4_2000-2009
5,reading,0.013697933933139821,d4_2000-2009
5,education,0.00873504607735574,d4_2000-2009
5,policy,0.006546980147701087,d4_2000-2009
5,school,0.005882257129179379,d4_2000-2009
5,national,0.005133784250324353,d4_2000-2009
5,community,0.004755480759079444,d4_2000-2009
5,researchers,0.0046117346431337174,d4_2000-2009
5,social,0.004529305109407297,d4_2000-2009
5,educational,0.004485366755903606,d4_2000-2009
5,practices,0.004228459476167364,d4_2000-2009
5,schools,0.003841459141722604,d4_2000-2009
5,practice,0.0034546415775200665,d4_2000-2009
5,literacies,0.0034028922173724246,d4_2000-2009
5,parents,0.003124357226574748,d4_2000-2009
5,people,0.0030610363856621967,d4_2000-2009
5,studies,0.003031921930000291,d4_2000-2009
5,learning,0.0029564121397357953,d4_2000-2009
5,university,0.0029276531756919793,d4_2000-2009
5,conference,0.0027872624899922755,d4_2000-2009
5,information,0.002623450201042638,d4_2000-2009
5,report,0.0025466426373140544,d4_2000-2009
5,world,0.002541804987793995,d4_2000-2009
5,based,0.0024756065463067967,d4_2000-2009
5,issues,0.0023663202837473133,d4_2000-2009
5,public,0.0023609294685315043,d4_2000-2009
5,time,0.00223795816126906,d4_2000-2009
5,press,0.00219396184604081,d4_2000-2009
5,communities,0.002139311657520536,d4_2000-2009
6,reading,0.043039230349887825,d4_2000-2009
6,students,0.019797997843305336,d4_2000-2009
6,language,0.009496673046376561,d4_2000-2009
6,english,0.009199221692034633,d4_2000-2009
6,grade,0.008488074931703024,d4_2000-2009
6,vocabulary,0.007995741685702778,d4_2000-2009
6,comprehension,0.007802975091823337,d4_2000-2009
6,level,0.007525050096556168,d4_2000-2009
6,word,0.007245618279011722,d4_2000-2009
6,research,0.0067521499547897575,d4_2000-2009
6,words,0.005810412546267644,d4_2000-2009
6,children,0.005802591628078835,d4_2000-2009
6,read,0.005549043013130596,d4_2000-2009
6,instruction,0.0054532096495809946,d4_2000-2009
6,study,0.005424223695372493,d4_2000-2009
6,development,0.005047504250260598,d4_2000-2009
6,text,0.005029597990538273,d4_2000-2009
6,assessment,0.004864901068029953,d4_2000-2009
6,fluency,0.004598841328118707,d4_2000-2009
6,scores,0.004423179084770124,d4_2000-2009
6,school,0.00431576281917845,d4_2000-2009
6,achievement,0.0038114301886769332,d4_2000-2009
6,test,0.003550777819596128,d4_2000-2009
6,time,0.0035171054792341376,d4_2000-2009
6,skills,0.0032974106404332426,d4_2000-2009
6,readers,0.0032660144327027623,d4_2000-2009
6,learning,0.00326540796436512,d4_2000-2009
6,student,0.0032555683856517006,d4_2000-2009
6,oral,0.0031768551063675586,d4_2000-2009
6,motivation,0.0031369307676658714,d4_2000-2009
7,teachers,0.021231985879439037,d4_2000-2009
7,students,0.021100247553180854,d4_2000-2009
7,teacher,0.014876087637195499,d4_2000-2009
7,literacy,0.013383092486521588,d4_2000-2009
7,learning,0.010256758474489196,d4_2000-2009
7,teaching,0.008046382537538385,d4_2000-2009
7,school,0.007412545105515511,d4_2000-2009
7,education,0.007142614744666975,d4_2000-2009
7,reading,0.0068167882426926054,d4_2000-2009
7,children,0.00636969214686886,d4_2000-2009
7,preservice,0.006334143016434463,d4_2000-2009
7,classroom,0.005830077890655258,d4_2000-2009
7,language,0.005505955330399514,d4_2000-2009
7,student,0.005470388575814189,d4_2000-2009
7,experiences,0.005135509943542439,d4_2000-2009
7,class,0.0051267529722084796,d4_2000-2009
7,research,0.004355647996078963,d4_2000-2009
7,own,0.004294019278662539,d4_2000-2009
7,cultural,0.004141842642545135,d4_2000-2009
7,study,0.0039048463013441298,d4_2000-2009
7,family,0.0035321955229768273,d4_2000-2009
7,american,0.0030861714726059778,d4_2000-2009
7,social,0.0030517940087197793,d4_2000-2009
7,time,0.003043364314619483,d4_2000-2009
7,diverse,0.0029855708188704986,d4_2000-2009
7,community,0.0028822158178648896,d4_2000-2009
7,course,0.002800942536876975,d4_2000-2009
7,home,0.0027940412848648944,d4_2000-2009
7,university,0.002760247331245117,d4_2000-2009
7,families,0.0027363407168267922,d4_2000-2009
8,teachers,0.02577387612841506,d4_2000-2009
8,reading,0.019980128160738835,d4_2000-2009
8,teacher,0.018587395098077653,d4_2000-2009
8,students,0.015342193304626047,d4_2000-2009
8,instruction,0.011210576817364157,d4_2000-2009
8,literacy,0.010636471913787214,d4_2000-2009
8,teaching,0.010461262403619234,d4_2000-2009
8,research,0.010303928579172323,d4_2000-2009
8,student,0.007113971589341633,d4_2000-2009
8,program,0.0065317364822291375,d4_2000-2009
8,school,0.006508708402656699,d4_2000-2009
8,study,0.006390002980270735,d4_2000-2009
8,learning,0.006144829719900273,d4_2000-2009
8,education,0.0060565579847815226,d4_2000-2009
8,development,0.005468455966307199,d4_2000-2009
8,strategies,0.0047667549313097106,d4_2000-2009
8,professional,0.004683161622480625,d4_2000-2009
8,classroom,0.00458437742756208,d4_2000-2009
8,national,0.004456199324077803,d4_2000-2009
8,instructional,0.00428441786185887,d4_2000-2009
8,programs,0.004197803876375595,d4_2000-2009
8,time,0.0040359813262562045,d4_2000-2009
8,content,0.004013528490599271,d4_2000-2009
8,writing,0.003918247461238117,d4_2000-2009
8,data,0.0037855341137928824,d4_2000-2009
8,practice,0.003648427149243371,d4_2000-2009
8,preservice,0.003157802078920423,d4_2000-2009
8,schools,0.0030867261362734428,d4_2000-2009
8,knowledge,0.0030557469762218376,d4_2000-2009
8,university,0.002972446172793791,d4_2000-2009
9,reading,0.018881225062498848,d4_2000-2009
9,text,0.012848574927310992,d4_2000-2009
9,students,0.011698725181897272,d4_2000-2009
9,knowledge,0.010693098748798601,d4_2000-2009
9,information,0.009407679871512835,d4_2000-2009
9,technology,0.007589739563023512,d4_2000-2009
9,readers,0.006956996473539021,d4_2000-2009
9,comprehension,0.006647841898352991,d4_2000-2009
9,learning,0.006077220443024866,d4_2000-2009
9,study,0.00566172169490838,d4_2000-2009
9,internet,0.00550644250213284,d4_2000-2009
9,web,0.005377377635836992,d4_2000-2009
9,research,0.005169036799715712,d4_2000-2009
9,literacy,0.004886379056009387,d4_2000-2009
9,strategies,0.0046176801285220176,d4_2000-2009
9,hypertext,0.0042011923558726676,d4_2000-2009
9,online,0.004188788678331776,d4_2000-2009
9,questions,0.004156980647931126,d4_2000-2009
9,based,0.00376261707937775,d4_2000-2009
9,texts,0.0037078633883416046,d4_2000-2009
9,computer,0.003340684004900861,d4_2000-2009
9,prior,0.0033147395014447166,d4_2000-2009
9,task,0.0032453001247113107,d4_2000-2009
9,instruction,0.00307731994098531,d4_2000-2009
9,content,0.00305109960968643,d4_2000-2009
9,reader,0.002897343159217445,d4_2000-2009
9,using,0.0028384307546909207,d4_2000-2009
9,time,0.0028346567332332515,d4_2000-2009
9,participants,0.0026938137603186247,d4_2000-2009
9,read,0.0026552133257669113,d4_2000-2009
10,reading,0.023332048402718134,d4_2000-2009
10,text,0.014642065699810927,d4_2000-2009
10,books,0.01443128610471241,d4_2000-2009
10,children,0.01319192401604564,d4_2000-2009
10,read,0.01274965254641853,d4_2000-2009
10,students,0.010086143367067433,d4_2000-2009
10,texts,0.009473755364966863,d4_2000-2009
10,literacy,0.008228210719762043,d4_2000-2009
10,book,0.007593143711164093,d4_2000-2009
10,grade,0.007329247570731355,d4_2000-2009
10,classroom,0.006260044621069775,d4_2000-2009
10,study,0.006057093687948707,d4_2000-2009
10,teachers,0.005375925812985283,d4_2000-2009
10,research,0.0050834562312575575,d4_2000-2009
10,readers,0.0050577234345152745,d4_2000-2009
10,school,0.004325066188047814,d4_2000-2009
10,teacher,0.004209983851669327,d4_2000-2009
10,narrative,0.003940481311142003,d4_2000-2009
10,informational,0.0038326950572508353,d4_2000-2009
10,student,0.0036511394673813726,d4_2000-2009
10,literature,0.0035551781515006094,d4_2000-2009
10,print,0.003354616693848654,d4_2000-2009
10,data,0.0030964777801096017,d4_2000-2009
10,story,0.0030609664481722958,d4_2000-2009
10,time,0.0029262441714742364,d4_2000-2009
10,instruction,0.002881939824512387,d4_2000-2009
10,information,0.002816641218744251,d4_2000-2009
10,class,0.0027215297726216553,d4_2000-2009
10,selections,0.002677315609992492,d4_2000-2009
10,classrooms,0.002663499318210579,d4_2000-2009
11,text,0.009752202514165073,d4_2000-2009
11,texts,0.009565979513034959,d4_2000-2009
11,reading,0.007866160540922089,d4_2000-2009
11,language,0.007336584350535772,d4_2000-2009
11,literacy,0.00644705321001726,d4_2000-2009
11,literary,0.005812809810338114,d4_2000-2009
11,children,0.005570712557153892,d4_2000-2009
11,visual,0.00551234883767029,d4_2000-2009
11,analysis,0.0047315776456754105,d4_2000-2009
11,cultural,0.004300570662867381,d4_2000-2009
11,literature,0.004298272589573203,d4_2000-2009
11,story,0.004079292537588137,d4_2000-2009
11,social,0.00398636564332528,d4_2000-2009
11,meaning,0.003783348552391459,d4_2000-2009
11,students,0.0037584103457305048,d4_2000-2009
11,writing,0.0035213457491549654,d4_2000-2009
11,critical,0.003520342225650111,d4_2000-2009
11,york,0.0033790310345688463,d4_2000-2009
11,research,0.003355821193372834,d4_2000-2009
11,readers,0.003190735078909922,d4_2000-2009
11,art,0.0031094403553157033,d4_2000-2009
11,press,0.00308286851293197,d4_2000-2009
11,world,0.0029655467239114615,d4_2000-2009
11,practices,0.002961608137505065,d4_2000-2009
11,culture,0.002955683120367963,d4_2000-2009
11,book,0.0029529579630798936,d4_2000-2009
11,discourse,0.0029502399203329035,d4_2000-2009
11,written,0.0029457129459799893,d4_2000-2009
11,university,0.0028476804999697826,d4_2000-2009
11,understanding,0.0028448431845467656,d4_2000-2009
12,children,0.044529174506645716,d4_2000-2009
12,literacy,0.01857502916761943,d4_2000-2009
12,reading,0.015499583121999661,d4_2000-2009
12,child,0.012159873955400802,d4_2000-2009
12,writing,0.01036702584938558,d4_2000-2009
12,read,0.007150722977314378,d4_2000-2009
12,school,0.006780614184475511,d4_2000-2009
12,development,0.006690628854203422,d4_2000-2009
12,language,0.006682785709166864,d4_2000-2009
12,knowledge,0.005797509662588538,d4_2000-2009
12,study,0.005240074883195827,d4_2000-2009
12,grade,0.005218222944150349,d4_2000-2009
12,parents,0.005120573824912685,d4_2000-2009
12,learning,0.005080837995009554,d4_2000-2009
12,research,0.004719286035826858,d4_2000-2009
12,book,0.004566382171853293,d4_2000-2009
12,words,0.0045492206561933745,d4_2000-2009
12,teacher,0.004300226462358706,d4_2000-2009
12,level,0.004279209441424655,d4_2000-2009
12,home,0.004140528678969449,d4_2000-2009
12,teachers,0.004083836945740448,d4_2000-2009
12,word,0.0037972715523514533,d4_2000-2009
12,print,0.003573090493704143,d4_2000-2009
12,skills,0.003486554161362126,d4_2000-2009
12,letter,0.0034204864340448187,d4_2000-2009
12,instruction,0.0034114023799817405,d4_2000-2009
12,write,0.0033751874012500228,d4_2000-2009
12,spelling,0.0033135358911701497,d4_2000-2009
12,letters,0.003201695291320701,d4_2000-2009
12,story,0.0030365173689567582,d4_2000-2009
