topic,term,beta,decade
1,literacy,0.016920190408206456,d6_2020-2022
1,research,0.011617440930562009,d6_2020-2022
1,students,0.00972367686793394,d6_2020-2022
1,reading,0.006747905661992911,d6_2020-2022
1,english,0.0060912549110513645,d6_2020-2022
1,language,0.0060447033074839925,d6_2020-2022
1,identities,0.005589691598575708,d6_2020-2022
1,practices,0.005310112603533744,d6_2020-2022
1,classroom,0.005215588489161734,d6_2020-2022
1,learners,0.005019622290529117,d6_2020-2022
1,study,0.0046818586606358625,d6_2020-2022
1,journal,0.00449732135464917,d6_2020-2022
1,student,0.004409872508555838,d6_2020-2022
1,youth,0.004321238262545969,d6_2020-2022
1,class,0.004293986978747361,d6_2020-2022
1,teacher,0.004203160968718836,d6_2020-2022
1,journals,0.003990750501899582,d6_2020-2022
1,learning,0.003961589497384279,d6_2020-2022
1,data,0.003957313967367618,d6_2020-2022
1,noriah,0.003826814288833769,d6_2020-2022
1,school,0.003823822483329183,d6_2020-2022
1,literate,0.003762550858575069,d6_2020-2022
1,teachers,0.0036356854881397097,d6_2020-2022
1,loss,0.003534938622736276,d6_2020-2022
1,education,0.0034641349760545634,d6_2020-2022
1,sharing,0.0032741265916067836,d6_2020-2022
1,teaching,0.003222595979199466,d6_2020-2022
1,college,0.003140777952795284,d6_2020-2022
1,based,0.0031333588962121706,d6_2020-2022
1,analysis,0.003091175779012042,d6_2020-2022
2,literacy,0.010075041091885424,d6_2020-2022
2,reading,0.009491007942475026,d6_2020-2022
2,school,0.007463343018411201,d6_2020-2022
2,children,0.007294193562732556,d6_2020-2022
2,writing,0.006618764922462207,d6_2020-2022
2,research,0.00655043367255091,d6_2020-2022
2,black,0.0055868741700472214,d6_2020-2022
2,students,0.005174049316763901,d6_2020-2022
2,bodies,0.004758567429095121,d6_2020-2022
2,refugee,0.0044902427027414555,d6_2020-2022
2,language,0.0041066558092434265,d6_2020-2022
2,read,0.004103436009986832,d6_2020-2022
2,fluency,0.0038816014237293226,d6_2020-2022
2,data,0.0037751507388415493,d6_2020-2022
2,people,0.0036999144454330987,d6_2020-2022
2,experiences,0.00339056350294791,d6_2020-2022
2,education,0.003357109075442907,d6_2020-2022
